event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
Alexander the Great,-323,,,war-politics,"Alexander III of Macedon, most commonly known as Alexander the Great, was king of the ancient Greek kingdom of Macedon. He succeeded his father Philip II to the throne in 336 BC at the age of 20, and spent most of his reign conducting a lengthy military campaign throughout Asia and Egypt.",2,Middle East,asia;ancient,https://en.wikipedia.org/wiki/Alexander_the_Great,Alexander_the_Great,King of Macedon from 336 to 323 BC
Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes Rive,326,,,war-politics,326 BC: Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes River .,3,Asia,,https://en.wikipedia.org/wiki/King_Porus,King_Porus,
Babylon,323,,,war-politics,"Babylon was an ancient city located on the lower Euphrates river in southern Mesopotamia, within modern-day Hillah, Iraq, about 85 kilometres south of modern-day Baghdad. Babylon functioned as the main cultural and political centre of the Akkadian-speaking region of Babylonia.",2,Asia,ancient;modern,https://en.wikipedia.org/wiki/Babylon,Babylon,Ancient Mesopotamian city in Iraq
Death of Aristotle,322,,,war-politics,322 BC: Death of Aristotle.,2,Global,,,,
Chandragupta Maurya,321,,,war-politics,"Chandragupta Maurya was the founder and the first emperor of the Maurya Empire, based in Magadha in the Indian subcontinent.",2,Asia,empire,https://en.wikipedia.org/wiki/Chandragupta_Maurya,Chandragupta_Maurya,Founder of the Maurya Empire (340–295 BCE)
Establishment of the Seleucid Empire by Seleucus I Nicator . The empire existed,321,,,war-politics,321 BC: Establishment of the Seleucid Empire by Seleucus I Nicator . The empire existed until 63 BC.,2,Global,empire,https://en.wikipedia.org/wiki/Seleucid_Empire,Seleucid_Empire,
Paropamisadae,305,,,war-politics,"Paropamisadae or Parapamisadae was a satrapy of the Alexandrian Empire in modern Pakistan and Afghanistan, which largely coincided with the Achaemenid province of Parupraesanna. It consisted of the districts of Sattagydia, Gandhara, and Oddiyana.",2,Global,empire;modern,https://en.wikipedia.org/wiki/Paropamisadae,Paropamisadae,Alexandrian satrapy in Pakistan and Afghanistan
Euclid,300,,,science-technology,"Euclid was an ancient Greek mathematician active as a geometer and logician. Considered the ""father of geometry"", he is chiefly known for the Elements treatise, which established the foundations of geometry that largely dominated the field until the early 19th century.",2,Global,ancient,https://en.wikipedia.org/wiki/Euclid,Euclid,Ancient Greek mathematician (fl. 300 BC)
c. 300 BC: Pingala uses zero and binary numeral system,300,,,war-politics,c. 300 BC: Pingala uses zero and binary numeral system .,2,Global,,https://en.wikipedia.org/wiki/Pingala,Pingala,
"Sangam literature (Tamil: சங்க இலக்கியம், Canka ilakkiyam) period in the history",300,,,art-culture-religion,"300 BC: Sangam literature (Tamil: சங்க இலக்கியம், Canka ilakkiyam) period in the history of ancient southern India (known as the Tamilakam)",2,Asia,literature;ancient,https://en.wikipedia.org/wiki/Sangam_literature,Sangam_literature,
"Construction of the Great Pyramid of Cholula , the world's largest pyramid by vo",300,,,war-politics,"300 BC: Construction of the Great Pyramid of Cholula , the world's largest pyramid by volume (the Great Pyramid of Giza built 2560 BC Egypt stands 146.5 meters, making it 91.5 meters taller), begins in Cholula, Puebla , Mexico.",1,Middle East,,https://en.wikipedia.org/wiki/Great_Pyramid_of_Cholula,Great_Pyramid_of_Cholula,
The Maruya Empire in c. 250 BC 273 BC: Ashoka becomes the emperor of the Maurya,-250,,,war-politics,The Maruya Empire in c. 250 BC 273 BC: Ashoka becomes the emperor of the Maurya Empire .,2,Global,empire,https://en.wikipedia.org/wiki/Maurya_Empire,Maurya_Empire,
Kalinga War,261,,,war-politics,261 BC: Kalinga War .,2,Global,war,https://en.wikipedia.org/wiki/Kalinga_War,Kalinga_War,
An Dương Vương takes over Việt Nam (then Kingdom of Âu Lạc),257,,,war-politics,257 BC: An Dương Vương takes over Việt Nam (then Kingdom of Âu Lạc).,2,Global,,https://en.wikipedia.org/wiki/An_D%C6%B0%C6%A1ng_V%C6%B0%C6%A1ng,An_Dương_Vương,
Ashoka sends a Buddhist missionary led by his son Mahinda to Sri Lanka (then Lan,255,,,war-politics,255 BC: Ashoka sends a Buddhist missionary led by his son Mahinda to Sri Lanka (then Lanka).,2,Global,,https://en.wikipedia.org/wiki/Mahinda_(Buddhist_monk),Mahinda_(Buddhist_monk),
"Rise of Parthia (Ashkâniân), the second native dynasty of ancient Persia",250,,,war-politics,"250 BC: Rise of Parthia (Ashkâniân), the second native dynasty of ancient Persia.",2,Asia,art;ancient,https://en.wikipedia.org/wiki/Parthia,Parthia,
Death of Ashoka; Decline of the Mauryan Empire,232,,,war-politics,232 BC: Death of Ashoka; Decline of the Mauryan Empire.,2,Global,empire,,,
Emergence of Satavahana in South India,230,,,war-politics,230 BC: Emergence of Satavahana in South India .,2,Asia,,https://en.wikipedia.org/wiki/Satavahana,Satavahana,
Qin Shi Huang,221,,,war-politics,"Qin Shi Huang was the founder of the Qin dynasty and the first emperor of China. He invented the title huángdì rather than reuse the existing title for ""king"" ; the new title was used by monarchs in China and other countries for the next two millennia.",2,Asia,,https://en.wikipedia.org/wiki/Qin_Shi_Huang,Qin_Shi_Huang,Emperor of China from 221 to 210 BC
Battle of Cannae,216,,,war-politics,"The Battle of Cannae was a key engagement of the Second Punic War between the Roman Republic and Carthage, fought on 2 August 216 BC near the ancient village of Cannae in Apulia, southeast Italy. The Carthaginians and their allies, led by Hannibal, surrounded and practically annihilated a larger Roman and Italian army under the consuls Lucius Aemilius Paullus and Gaius Terentius Varro.",3,Europe,war;art;ancient;republic,https://en.wikipedia.org/wiki/Battle_of_Cannae,Battle_of_Cannae,Largest battle of the Second Punic War (216 BC)
Nanyue,207,,,war-politics,"Nanyue was an ancient kingdom founded in 204 BC by the Chinese general Zhao Tuo, whose family continued to rule until 111 BC. Nanyue's geographical expanse covered the modern Chinese subdivisions of Guangdong, Guangxi, Hainan, Hong Kong, Macau, southern Fujian and central to northern Vietnam.",2,Asia,ancient;modern,https://en.wikipedia.org/wiki/Nanyue,Nanyue,Kingdom in East Asia (204 BC – 111 BC)
Han dynasty,206,,,war-politics,"The Han dynasty was an imperial dynasty of China established by Liu Bang, and preceded by the short-lived Qin dynasty (221–206 BC) and the interregnum known as the Chu–Han Contention (206–202 BC). It was succeeded by the Three Kingdoms period (220–280 AD) and also briefly interrupted by the Xin dynasty (9–23 AD) established by the usurping regent Wang Mang.",2,Asia,,https://en.wikipedia.org/wiki/Han_dynasty,Han_dynasty,Imperial dynasty in China (202 BC – 220 AD)
Scipio Africanus,-200,,,war-politics,"Publius Cornelius Scipio Africanus was a Roman general and statesman who was one of the main architects of Rome's victory against Carthage in the Second Punic War. Often regarded as one of the greatest military commanders and strategists of all time, his crowning achievement was the defeat of Hannibal at the Battle of Zama in 202 BC, which earned him the honorific epithet Africanus.",3,Europe,war;art;africa,https://en.wikipedia.org/wiki/Scipio_Africanus,Scipio_Africanus,Roman general and politician (236/235 – c. 183 BC)
El Mirador,200,,,art-culture-religion,"El Mirador is a large pre-Columbian Middle and Late Preclassic Maya settlement, located in the north of the modern department of El Petén, Guatemala. It is part of the Mirador-Calakmul Karst Basin of northern Guatemala. El Mirador is considered to be the most important complex of ancient cities from the Preclassic period.",2,Americas,art;ancient;modern,https://en.wikipedia.org/wiki/El_Mirador,El_Mirador,Pre-Columbian Maya settlement
Paper,200,,,science-technology,"


Paper is a thin sheet of matted cellulose fibers. Largely derived from lignocellulose, paper is created from a pulp dissolved into a slurry that is drained and dried into sheets. Different types of paper are defined by constituent fiber, paper pulp, sizing, coating, paper size, paper density and grammage.",2,Global,,https://en.wikipedia.org/wiki/Paper,Paper,"Material for writing, printing, etc."
Chera dynasty,200,,,war-politics,"The Chera dynasty, also known as Kedalaputho, from the early historic or the Sangam period in southern India, ruled over parts of present-day states Kerala and Tamil Nadu. The Cheras, known as one of the mu-ventar of Tamilakam alongside the Cholas and Pandyas, have been documented as early as the third century BCE.",2,Asia,art,https://en.wikipedia.org/wiki/Chera_dynasty,Chera_dynasty,Dynasty in ancient South India
Shunga Empire,185,,,war-politics,"The Shunga Empire was a ruling entity centred around Magadha and controlled most of the northern Indian subcontinent from around 187 to 75 BCE. The dynasty was established by Pushyamitra, after taking the throne of Magadha from the Mauryas. The Shunga empire's capital was Pataliputra, but later emperors such as Bhagabhadra also held court at Besnagar in eastern Malwa.",2,Asia,empire,https://en.wikipedia.org/wiki/Shunga_Empire,Shunga_Empire,Indian empire (185–73 BCE)
Maccabean Revolt,167,,,war-politics,The Maccabean Revolt or the Hasmonean revolt was a Jewish rebellion led by the Maccabees against the Seleucid Empire and against Hellenistic influence on Jewish life.,2,Global,empire,https://en.wikipedia.org/wiki/Maccabean_Revolt,Maccabean_Revolt,Jewish rebellion against the Seleucids
Third Punic War,149,,,war-politics,"The Third Punic War was the third and last of the Punic Wars fought between Carthage and Rome. The war was fought entirely within Carthaginian territory, in what is now northern Tunisia. When the Second Punic War ended in 201 BC one of the terms of the peace treaty prohibited Carthage from waging war without Rome's permission.",2,Africa,war;art;treaty,https://en.wikipedia.org/wiki/Third_Punic_War,Third_Punic_War,War between Rome and Carthage (149–146 BC)
Greece in the Roman era,146,,,war-politics,"Greece in the Roman era refers to the period of ancient Greece as well as that of the Greek people and the areas they inhabited and ruled historically, from the Roman Republic's conquest of mainland Greece in 146 BC until the division of the Roman Empire in late antiquity. It covers the periods when Greece was dominated first by the Roman Republic and then by the Roman Empire.",2,Europe,empire;ancient;republic,https://en.wikipedia.org/wiki/Greece_in_the_Roman_era,Greece_in_the_Roman_era,
Eucratides I,145,,,war-politics,"Eucratides I, also known as Eucratides the Great, was one of the most important Greco-Bactrian kings. He conquered large parts of northern India, and minted a vast and prestigious coinage, suggesting a rule of considerable importance and prosperity. His immediate successors were the last Greek kings to rule in Bactria.",2,Asia,art,https://en.wikipedia.org/wiki/Eucratides_I,Eucratides_I,Greco-Bactrian king from 172/171 BC to 145 BC
Gaul,121,,,art-culture-religion,"Gaul was a region of Western Europe first clearly described by the Romans, encompassing present-day France, Belgium, Luxembourg, and parts of Switzerland, the Netherlands, Germany, and Northern Italy. It covered an area of 494,000 km2 (191,000 mi2). Archaeologically, the Gauls were bearers of the La Tène culture during the 5th to 1st centuries BC.",2,Europe,art;europe,https://en.wikipedia.org/wiki/Gaul,Gaul,Historical region of Western Europe inhabited by Celtic tribes
First Era of Northern Domination,-100,,,war-politics,"The First Era of Northern Domination refers to the period of Vietnamese history during which present-day northern Vietnam was under the rule of the Han dynasty and the interregnum Xin dynasty as Jiaozhi and Jiaozhou Commanderies. It is considered the first of four periods of Chinese rule over Vietnam, and the first of the three in which were almost continuous and was referred to as Bắc thuộc.",2,Asia,,https://en.wikipedia.org/wiki/First_Era_of_Northern_Domination,First_Era_of_Northern_Domination,First Han Dynasty rule of Vietnam (111 BC-40 AD)
Chola dynasty,100,,,war-politics,"The Chola dynasty was a Tamil dynasty originating from Southern India. At its height, it ruled over the Chola Empire, an expansive maritime empire. The earliest datable references to the Chola are from inscriptions dated to the 3rd century BCE during the reign of Ashoka of the Maurya Empire.",2,Asia,empire,https://en.wikipedia.org/wiki/Chola_dynasty,Chola_dynasty,Tamil dynasty of South India
Bantu languages,-100,,,war-politics,"The Bantu languages are a language family, or a branch of the proposed Niger-Congo language family, containing about 600 languages that are spoken by the Bantu peoples of Central, Southern, Eastern and Southeast Africa. They form the largest branch of the Southern Bantoid languages.",2,Africa,africa,https://en.wikipedia.org/wiki/Bantu-speaking,Bantu-speaking,Large language family spoken in Sub-Saharan Africa
Bantu peoples,-100,,,war-politics,"The Bantu peoples are an ethnolinguistic grouping of approximately 400 distinct Indigenous African ethnic groups who speak Bantu languages. The languages are native to countries spread over a vast area from West Africa, to Central Africa, Southeast Africa, East Africa and into Southern Africa. Bantu people also inhabit southern areas of Northeast African states.",2,Africa,africa,https://en.wikipedia.org/wiki/Bantu_peoples,Bantu_peoples,Ethnolinguistic group in Africa
Burebista,82,,,war-politics,"Burebista was the king of the Getae and Dacian tribes from 82/61 BC to 45/44 BC. He was the first king who successfully unified the tribes of the Dacian kingdom, which comprised the area located between the Danube, Tisza, and Dniester rivers, and modern day Romania and Moldova. In the 7th and 6th centuries BC it became home to the Thracian peoples, including the Getae and the Dacians.",2,Europe,modern,https://en.wikipedia.org/wiki/Burebista,Burebista,1st-century BC Thracian king of the Getae and Dacians
Spartacus,71,,,war-politics,"Spartacus was a Thracian gladiator who was one of the escaped slave leaders in the Third Servile War, a major slave uprising against the Roman Republic.",2,Europe,war;art;republic,https://en.wikipedia.org/wiki/Spartacus,Spartacus,Thracian gladiator who led a slave revolt
Germany,60,,,war-politics,"Germany, officially the Federal Republic of Germany, is a country in Western and Central Europe. It lies between the Baltic Sea and the North Sea to the north with the Alps to the south. Its 16 constituent states have a total population of over 82 million, making it the most populous member state of the European Union (EU).",2,Europe,europe;republic,https://en.wikipedia.org/wiki/Germany,Germany,Country in Europe
Julius Caesar,49,,,war-politics,"Gaius Julius Caesar was a Roman general, statesman, and author who was the dictator of the Roman Republic almost continuously from 49 BC until his assassination in 44 BC. A member of the First Triumvirate, he led the Roman armies through the Gallic Wars and defeated his political rival Pompey in Caesar's civil war.",1,Europe,war;republic,https://en.wikipedia.org/wiki/Julius_Caesar,Julius_Caesar,Roman general and dictator (100–44 BC)
Marcus Junius Brutus,44,,,war-politics,"Marcus Junius Brutus was a Roman politician, orator, and the most famous of the assassins of Julius Caesar. After being adopted by a relative, he used the name Quintus Servilius Caepio Brutus, which was retained as his legal name. He is often referred to simply as Brutus.",2,Europe,,https://en.wikipedia.org/wiki/Marcus_Junius_Brutus,Marcus_Junius_Brutus,Roman politician and assassin of Julius Caesar (85–42 BC)
Romania,44,,,war-politics,"Romania is a country in Southeast and Central Europe. It lies on the lower course of the Danube, north of the Balkan Peninsula, and on the northwestern shore of the Black Sea. It borders Ukraine to the north and east, Hungary to the west, Serbia to the southwest, Bulgaria to the south, Moldova to the east, and the Black Sea to the southeast.",2,Europe,europe,https://en.wikipedia.org/wiki/Romania,Romania,Country in Southeast and Central Europe
30 BC: Battle of Actium . The Roman conquest of Ptolemaic Egypt,31,,,war-politics,31 - 30 BC: Battle of Actium . The Roman conquest of Ptolemaic Egypt .,3,Europe,,https://en.wikipedia.org/wiki/Battle_of_Actium,Battle_of_Actium,
Cleopatra,30,,,war-politics,"Cleopatra VII Thea Philopator was Queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BC, and the last active Hellenistic pharaoh. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great.",2,Middle East,,https://en.wikipedia.org/wiki/Cleopatra,Cleopatra,Pharaoh of Egypt from 51 to 30 BC
"22 BC: Amanirenas , the kandake (Queen) of the Kingdom of Kush , leads Kushite a",27,,,war-politics,"27 – 22 BC: Amanirenas , the kandake (Queen) of the Kingdom of Kush , leads Kushite armies against the Romans. [ 54 ] [ 55 ] [ 56 ]",2,Europe,,https://en.wikipedia.org/wiki/Amanirenas,Amanirenas,
Three Kingdoms period begins in Korea . Herod's Temple is reconstructed,18,,,war-politics,18 BC: Three Kingdoms period begins in Korea . Herod's Temple is reconstructed.,2,Asia,,https://en.wikipedia.org/wiki/Three_Kingdoms_of_Korea,Three_Kingdoms_of_Korea,
Jesus,6,,,art-culture-religion,"Jesus, also referred to as Jesus Christ, Jesus of Nazareth, and by various other names and titles, was a 1st-century Jewish preacher and religious leader in the Roman province of Judaea. He is the central figure of Christianity, the world's largest religion. Most branches of Christianity consider Jesus the incarnation of God the Son and the awaited Messiah or Christ.",2,Europe,religion,https://en.wikipedia.org/wiki/Jesus,Jesus,First-century Jewish preacher and religious leader
Widely accepted date (Ussher) for birth of Jesus,4,,,war-politics,4 BC: Widely accepted date (Ussher) for birth of Jesus.,2,Global,,,,
"c. 1 – 50 AD: The Periplus of the Erythraean Sea , a Greco-Roman manuscript is w",1,,,exploration-disasters,"c. 1 – 50 AD: The Periplus of the Erythraean Sea , a Greco-Roman manuscript is written. It describes an established Indian Ocean Trade route . [ 57 ]",2,Europe,trade,https://en.wikipedia.org/wiki/Periplus_of_the_Erythraean_Sea,Periplus_of_the_Erythraean_Sea,
Battle of the Teutoburg Forest,9,,,war-politics,"The Battle of the Teutoburg Forest, also called the Varus Disaster or Varian Disaster by Roman historians, was a major battle fought between an alliance of Germanic peoples and the Roman Empire between 8 and 11 September 9 CE, possibly near modern Kalkriese.",3,Europe,empire;disaster;modern,https://en.wikipedia.org/wiki/Battle_of_the_Teutoburg_Forest,Battle_of_the_Teutoburg_Forest,Roman defeat by Germanic tribes in 9 AD
"Death of Roman Emperor Augustus Caesar (Octavian), ascension of his adopted son",14,,,war-politics,"14 AD: Death of Roman Emperor Augustus Caesar (Octavian), ascension of his adopted son Tiberius to the throne.",2,Europe,,https://en.wikipedia.org/wiki/Roman_Emperor,Roman_Emperor,
Crucifixion of Jesus,30,,,war-politics,"Jesus was put to death by crucifixion, being nailed to an instrument made by the Romans for capital punishment, commonly named as a cross. The instrument of crucifixion is taken to be an upright wooden beam to which was added a transverse wooden beam, thus forming a ""cruciform"" or T-shaped structure. His crucifixion occurred in 1st-century Judaea, most likely in AD 30 or AD 33.",2,Europe,,https://en.wikipedia.org/wiki/Crucifixion_of_Jesus,Crucifixion_of_Jesus,Jesus' death as described in the gospels
Caligula,37,,,war-politics,"Gaius Julius Caesar Augustus Germanicus, also called Gaius and Caligula, was the third Roman emperor, ruling from AD 37 until his assassination in AD 41. He was the son of the Roman general Germanicus and Agrippina the Elder, Augustus' granddaughter, members of the first ruling family of the Roman Empire. He was born two years before Tiberius became emperor.",2,Europe,empire,https://en.wikipedia.org/wiki/Caligula,Caligula,Roman emperor from AD 37 to 41
Mauretania,40,,,war-politics,"Mauretania is the Latin name for a region in the ancient Maghreb. At its height, it extended from central Algeria to the Atlantic coast of Morocco, encompassing northern Morocco. Its inhabitants, of Imazighen and Phoenician ancestry, were known to the Romans as the Mauri and the Masaesyli.",2,Europe,ancient,https://en.wikipedia.org/wiki/Mauretania,Mauretania,Region in the ancient Maghreb
Claudius,41,,,war-politics,"Tiberius Claudius Caesar Augustus Germanicus, or simply Claudius, was a Roman emperor, ruling from AD 41 until his death in AD 54. The fourth ruler of the Julio-Claudian dynasty, Claudius was born to Drusus the Elder, the brother of Emperor Tiberius, and Antonia Minor at Lugdunum in Roman Gaul, where his father was stationed as a military legate.",2,Europe,,https://en.wikipedia.org/wiki/Claudius,Claudius,Roman emperor from AD 41 to 54
The Roman Empire enters Great Britain for the first time,43,,,war-politics,43 AD: The Roman Empire enters Great Britain for the first time.,2,Europe,empire,https://en.wikipedia.org/wiki/Great_Britain,Great_Britain,
Emperor Claudius dies and is succeeded by his grand nephew Nero,54,,,war-politics,54 AD: Emperor Claudius dies and is succeeded by his grand nephew Nero .,2,Global,,https://en.wikipedia.org/wiki/Nero,Nero,
Year of the Four Emperors,68,,,war-politics,"The Year of the Four Emperors, AD 69, was the first civil war of the Roman Empire, during which four emperors ruled in succession, Galba, Otho, Vitellius, and Vespasian. It is considered an important interval, marking the change from the Julio-Claudians, the first imperial dynasty, to the Flavian dynasty.",1,Europe,war;empire;asia,https://en.wikipedia.org/wiki/Year_of_the_Four_Emperors,Year_of_the_Four_Emperors,Battles for succession to rule the Roman Empire (AD 69)
Jerusalem,70,,,art-culture-religion,"Jerusalem is a city in the Southern Levant, on a plateau in the Judaean Mountains between the Mediterranean and the Dead Sea. It is one of the oldest cities in the world and is considered a holy city to the three major Abrahamic religions: Judaism, Christianity and Islam.",2,Middle East,religion,https://en.wikipedia.org/wiki/Jerusalem,Jerusalem,City in the Southern Levant
The world in 100 AD 79 AD: Destruction of Pompeii by the volcano Vesuvius,100,,,exploration-disasters,The world in 100 AD 79 AD: Destruction of Pompeii by the volcano Vesuvius .,2,Global,volcano,https://en.wikipedia.org/wiki/Pompeii,Pompeii,
"After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Tra",98,,,war-politics,"98 AD: After a two-year rule, Emperor Nerva dies of natural causes, his adopted son Trajan succeeds him.",2,Global,,https://en.wikipedia.org/wiki/Nerva,Nerva,
940: Kingdom of Aksum forms in the Horn of Africa,100,,,war-politics,100 – 940: Kingdom of Aksum forms in the Horn of Africa.,2,Africa,africa,https://en.wikipedia.org/wiki/Kingdom_of_Aksum,Kingdom_of_Aksum,
117: Roman Empire at largest extent under Trajan after having conquered modern-d,106,,,war-politics,"106 – 117: Roman Empire at largest extent under Trajan after having conquered modern-day Romania , Iraq and Armenia .",2,Europe,empire;modern,https://en.wikipedia.org/wiki/Trajan,Trajan,
Commodus,200,,,war-politics,"Commodus was Roman emperor from 177 to 192, first serving as nominal co-emperor under his father Marcus Aurelius and then ruling alone from 180. Commodus's sole reign is commonly thought to mark the end of the Pax Romana, a golden age of peace and prosperity in the history of the Roman Empire.",2,Europe,empire,https://en.wikipedia.org/wiki/Commodus,Commodus,Roman emperor from 177 to 192
"260: Defeat of Gordian III (238–244), Philip the Arab (244–249), and Valerian (2",244,,,war-politics,"244 - 260: Defeat of Gordian III (238–244), Philip the Arab (244–249), and Valerian (253–260), by Shapur I of Persia (Valerian was captured by the Persians).",2,Asia,,https://en.wikipedia.org/wiki/Gordian_III,Gordian_III,
The world in 300 AD 292: The capital of the Roman empire is officially moved fro,300,,,war-politics,The world in 300 AD 292: The capital of the Roman empire is officially moved from Rome to Mediolanum (modern day Milan ).,2,Europe,empire;modern,https://en.wikipedia.org/wiki/Mediolanum,Mediolanum,
1000: Growth of Azanian and Zanj settlements in the Swahili coast. Local industr,300,,,science-technology,300 – 1000: Growth of Azanian and Zanj settlements in the Swahili coast. Local industry and international trade flourish. [ 53 ],2,Global,trade,https://en.wikipedia.org/wiki/Azania,Azania,
Birth of Augustine of Hippo . [ 62 ],62,,,war-politics,354: Birth of Augustine of Hippo . [ 62 ],2,Global,,https://en.wikipedia.org/wiki/Augustine_of_Hippo,Augustine_of_Hippo,
409: Visigoths and other Germanic tribes cross into Roman-Gaul for the first tim,407,,,war-politics,407 – 409: Visigoths and other Germanic tribes cross into Roman-Gaul for the first time.,2,Europe,,https://en.wikipedia.org/wiki/Visigoths,Visigoths,
Sack of Rome (410),410,,,war-politics,"The sack of Rome on 24 August 410 AD was undertaken by the Visigoths led by their king, Alaric. At that time, Rome was no longer the administrative capital of the Western Roman Empire, having been replaced first by Mediolanum in 286 and then by Ravenna in 402. Nevertheless, the city of Rome retained a paramount position as ""the eternal city"" and a spiritual center of the Empire.",2,Europe,empire,https://en.wikipedia.org/wiki/Sack_of_Rome_(410),Sack_of_Rome_(410),Siege and sack of Rome by the Visigoths
The Eastern Hemisphere in 475 AD 439: The Northern Wei dynasty unites northern C,475,,,war-politics,"The Eastern Hemisphere in 475 AD 439: The Northern Wei dynasty unites northern China, beginning the Northern and Southern dynasties period.",2,Asia,,https://en.wikipedia.org/wiki/Northern_Wei_dynasty,Northern_Wei_dynasty,
"^ Mark, Joshua J. (28 April 2011). ""Writing"" . World History Encyclopedia . Retr",2024,9,7,war-politics,"^ Mark, Joshua J. (28 April 2011). ""Writing"" . World History Encyclopedia . Retrieved 2024-09-07 .",2,Global,,,,
"^ ""Beginning in the pottery-phase of the Neolithic, clay tokens are widely attes",1971,,,war-politics,"^ ""Beginning in the pottery-phase of the Neolithic, clay tokens are widely attested as a system of counting and identifying specific amounts of specified livestock or commodities. The tokens, enclosed in clay envelopes after being impressed on their rounded surface, were graduall",2,Global,,,,
"^ Richard Mattessich (2002). ""The oldest writings, and inventory tags of Egypt""",2018,11,19,science-technology,"^ Richard Mattessich (2002). ""The oldest writings, and inventory tags of Egypt"" . Accounting Historians Journal . 29 (1): 195– 208. doi : 10.2308/0148-4184.29.1.195 . JSTOR 40698264 . S2CID 160704269 . Archived from the original on 2018-11-19 . Retrieved 2016-08-27 .",2,Middle East,,https://en.wikipedia.org/wiki/Doi_(identifier),Doi_(identifier),
"^ Childe, Vere Gordon; Clarke, D. V. (1983). Childe, Vere Gordon (ed.). Skara Br",1983,,,war-politics,"^ Childe, Vere Gordon; Clarke, D. V. (1983). Childe, Vere Gordon (ed.). Skara Brae (Rev. ed.). Edinburgh: H.M.S.O. p. 6. ISBN 978-0-11-491755-5 .",2,Global,,https://en.wikipedia.org/wiki/ISBN_(identifier),ISBN_(identifier),
"^ Gardiner, Alan (1961). Egypt of the Pharaohs . Oxford University Press",1961,,,art-culture-religion,"^ Gardiner, Alan (1961). Egypt of the Pharaohs . Oxford University Press.",2,Middle East,,,,
"^ Tallet, Pierre (2012). ""Ayn Sukhna and Wadi el-Jarf: Two newly discovered phar",2012,,,science-technology,"^ Tallet, Pierre (2012). ""Ayn Sukhna and Wadi el-Jarf: Two newly discovered pharaonic harbours on the Suez Gulf"" (PDF) . British Museum Studies in Ancient Egypt and Sudan . 18 : 147– 68. ISSN 2049-5021 . Retrieved 21 April 2013 .",2,Middle East,ancient,https://en.wikipedia.org/wiki/ISSN_(identifier),ISSN_(identifier),
Bibcode,2018,,,art-culture-religion,"
The bibcode is a compact identifier used by several astronomical data systems to uniquely specify literature references.",2,Global,literature,https://en.wikipedia.org/wiki/Bibcode_(identifier),Bibcode_(identifier),Code used to identify references in certain astronomical data systems
Robert D. Biggs,1974,,,art-culture-religion,Robert D. Biggs was Professor of Assyriology in the Department of Near Eastern Languages and Civilizations at the University of Chicago. He received his PhD at Johns Hopkins University in 1962. He was an editor of the Journal of Near Eastern Studies. He retired from the University of Chicago in June 2004.,2,Global,art,https://en.wikipedia.org/wiki/Robert_D._Biggs,Robert_D._Biggs,American Assyriologist
"^ De Mieroop, Marc Van. (2004). A History of the Ancient Near East: c. 3000–323",2004,,,war-politics,"^ De Mieroop, Marc Van. (2004). A History of the Ancient Near East: c. 3000–323 BC . (p. 67) Malden, MA: Blackwell Publishing",2,Global,ancient,,,
"^ Movses Khorenatsi, History of Armenia . Ed. by G. Sargsyan. Yerevan: Hayastan",286,,,war-politics,"^ Movses Khorenatsi, History of Armenia . Ed. by G. Sargsyan. Yerevan: Hayastan, 1997, (pp. 83, 286)",2,Global,,,,
^ http://www.rosetta.bham.ac.uk/issue_09/simons_alphabet.pdf p. 24,24,,,war-politics,^ http://www.rosetta.bham.ac.uk/issue_09/simons_alphabet.pdf p. 24,2,Global,,,,
"^ Mitchell, T (1988). The Bible in the British Museum . The British Museum Press",1988,,,art-culture-religion,"^ Mitchell, T (1988). The Bible in the British Museum . The British Museum Press. p. 70.",2,Global,,,,
"^ Hardy DA (1989). 'Therea and the Aegean World III', Volume III – Chronology (P",2008,3,16,science-technology,"^ Hardy DA (1989). 'Therea and the Aegean World III', Volume III – Chronology (Proceedings of the Third International Congress, Hardy DA, editor) . Retrieved 2008-03-16 .",2,Global,,,,
Richard Diehl,2004,,,war-politics,"
Richard A. Diehl is an American archaeologist, anthropologist, academic, and scholar of pre-Columbian Mesoamerican cultures. He has made extensive contributions to the study of the Olmecs' civilization, which flourished in the Gulf Coast of Mexico region during the pre-classic period in Mesoamerica.",2,Americas,,https://en.wikipedia.org/wiki/Richard_Diehl,Richard_Diehl,American archaeologist (born 1940)
"^ Flood, Gavin D. (1996). An Introduction to Hinduism . Cambridge University Pre",1996,,,art-culture-religion,"^ Flood, Gavin D. (1996). An Introduction to Hinduism . Cambridge University Press.",2,Global,,,,
"^ Anthony, David W. (2007). The Horse The Wheel And Language. How Bronze-Age Rid",2007,,,art-culture-religion,"^ Anthony, David W. (2007). The Horse The Wheel And Language. How Bronze-Age Riders From the Eurasian Steppes Shaped The Modern World . Princeton University Press.",2,Global,asia;modern,,,
"^ Millek, Jesse (2021). ""Why Did the World End in 1200 BCE"" . Ancient Near East",2021,,,war-politics,"^ Millek, Jesse (2021). ""Why Did the World End in 1200 BCE"" . Ancient Near East Today . 9 (8).",2,Global,ancient,,,
